application_id,is_default,first_default_month,max_days_past_due,total_payments_made,default_probability_actual
APP-002582,0,0,0,60,0.22
APP-002583,0,0,0,36,0.14
APP-002584,0,0,0,24,0.6
APP-002585,1,7,60,6,0.49
APP-002586,0,0,0,48,0.36
APP-002587,1,5,90,4,0.92
APP-002588,1,2,90,1,0.84
APP-002589,1,5,120,4,0.54
APP-002590,0,0,0,60,0.46
APP-002591,1,10,90,9,0.504
APP-002592,1,2,90,1,0.64
APP-002593,0,0,0,48,0.18
APP-002594,1,4,30,3,0.78
APP-002595,1,8,120,7,0.5
APP-002596,1,2,30,1,0.48
APP-002597,0,0,5,36,0.06
APP-002598,0,0,0,60,0.51
APP-002599,0,0,0,48,0.11
APP-002600,0,0,15,36,0.341
APP-002601,0,0,1,24,0.291
APP-002602,1,6,120,5,0.33
APP-002603,0,0,0,18,0.24
APP-002604,0,0,0,24,0.18
APP-002605,0,0,0,24,0.31
APP-002606,0,0,1,48,0.18
APP-002607,1,3,90,2,0.33
APP-002608,1,1,120,0,0.54
APP-002609,0,0,0,36,0.14
APP-002610,0,0,0,36,0.19
APP-002611,1,4,60,3,0.611
APP-002612,0,0,15,18,0.39
APP-002613,0,0,5,24,0.388
APP-002614,0,0,0,36,0.641
APP-002615,0,0,0,36,0.52
APP-002616,1,4,90,3,0.75
APP-002617,0,0,0,48,0.42
APP-002618,1,6,90,5,0.6965
APP-002619,1,5,120,4,0.92
APP-002620,0,0,5,36,0.491
APP-002621,1,6,90,5,0.51
APP-002622,0,0,0,36,0.18
APP-002623,0,0,0,48,0.61
APP-002624,0,0,5,36,0.31
APP-002625,0,0,0,36,0.11
APP-002626,0,0,0,12,0.38
APP-002627,1,8,30,7,0.92
APP-002628,0,0,0,12,0.68
APP-002629,1,9,90,8,0.46
APP-002630,1,8,120,7,0.56
APP-002631,1,7,120,6,0.64
APP-002632,0,0,0,36,0.19
APP-002633,0,0,0,18,0.84
APP-002634,0,0,0,12,0.645
APP-002635,1,8,90,7,0.465
APP-002636,1,9,90,8,0.92
APP-002637,0,0,0,60,0.54
APP-002638,0,0,0,48,0.19
APP-002639,0,0,0,24,0.26
APP-002640,0,0,0,18,0.32
APP-002641,0,0,0,48,0.448
APP-002642,1,10,30,9,0.56
APP-002643,0,0,1,36,0.14
APP-002644,1,5,30,4,0.34
APP-002645,0,0,0,36,0.11
APP-002646,1,7,60,6,0.451
APP-002647,0,0,1,48,0.26
APP-002648,1,8,90,7,0.62
APP-002649,1,10,30,9,0.565
APP-002650,1,1,90,0,0.64
APP-002651,1,9,60,8,0.92
APP-002652,0,0,0,60,0.61
APP-002653,1,10,30,9,0.91
APP-002654,1,2,30,1,0.38
APP-002655,1,10,120,9,0.63
APP-002656,0,0,1,36,0.4
APP-002657,1,12,90,11,0.92
APP-002658,0,0,0,48,0.22
APP-002659,1,4,120,3,0.92
APP-002660,1,8,90,7,0.841
APP-002661,0,0,0,36,0.48
APP-002662,0,0,0,36,0.18
APP-002663,0,0,1,18,0.27
APP-002664,0,0,0,24,0.22
APP-002665,0,0,0,36,0.371
APP-002666,0,0,0,18,0.425
APP-002667,1,8,90,7,0.425
APP-002668,0,0,0,36,0.06
APP-002669,0,0,5,24,0.49
APP-002670,0,0,0,24,0.55
APP-002671,0,0,0,18,0.64
APP-002672,1,4,90,3,0.61
APP-002673,0,0,0,60,0.11
APP-002674,0,0,0,24,0.56
APP-002675,0,0,0,24,0.16
APP-002676,1,1,120,0,0.66
APP-002677,0,0,0,36,0.11
APP-002678,1,11,120,10,0.91
APP-002679,1,6,120,5,0.78
APP-002680,0,0,0,36,0.24
APP-002681,1,4,90,3,0.46
APP-002682,1,1,120,0,0.55
APP-002683,1,1,30,0,0.425
APP-002684,0,0,1,48,0.19
APP-002685,1,5,90,4,0.245
APP-002686,1,5,60,4,0.92
APP-002687,1,6,120,5,0.44
APP-002688,1,2,90,1,0.92
APP-002689,1,5,90,4,0.56
APP-002690,1,3,60,2,0.69
APP-002691,0,0,1,36,0.54
APP-002692,1,2,90,1,0.728
APP-002693,0,0,0,60,0.388
APP-002694,1,2,90,1,0.771
APP-002695,0,0,15,60,0.11
APP-002696,0,0,0,48,0.291
APP-002697,0,0,0,24,0.598
APP-002698,0,0,0,36,0.8365
APP-002699,1,5,60,4,0.59
APP-002700,0,0,0,60,0.45
APP-002701,1,7,30,6,0.641
APP-002702,0,0,0,60,0.38
APP-002703,1,5,120,4,0.31
APP-002704,1,4,90,3,0.92
APP-002705,1,7,90,6,0.92
APP-002706,0,0,0,24,0.4
APP-002707,0,0,0,60,0.33
APP-002708,1,4,180,3,0.26
APP-002709,1,7,60,6,0.79
APP-002710,0,0,0,48,0.388
APP-002711,1,3,60,2,0.56
APP-002712,1,3,90,2,0.56
APP-002713,0,0,1,60,0.51
APP-002714,0,0,5,36,0.06
APP-002715,1,2,90,1,0.56
APP-002716,0,0,0,24,0.18
APP-002717,0,0,0,60,0.19
APP-002718,0,0,0,24,0.38
APP-002719,1,5,60,4,0.791
APP-002720,0,0,1,24,0.26
APP-002721,1,2,60,1,0.42
APP-002722,0,0,0,18,0.92
APP-002723,1,5,90,4,0.33
APP-002724,0,0,15,36,0.46
APP-002725,0,0,1,36,0.23
APP-002726,0,0,0,12,0.19
APP-002727,0,0,0,24,0.74
APP-002728,1,9,90,8,0.56
APP-002729,0,0,0,24,0.64
APP-002730,1,5,60,4,0.64
APP-002731,1,2,180,1,0.92
APP-002732,0,0,0,36,0.325
APP-002733,1,5,90,4,0.79
APP-002734,1,2,60,1,0.92
APP-002735,0,0,0,36,0.11
APP-002736,0,0,5,24,0.18
APP-002737,0,0,0,36,0.51
APP-002738,0,0,0,24,0.06
APP-002739,1,8,30,7,0.26
APP-002740,0,0,0,36,0.17
APP-002741,0,0,0,24,0.06
APP-002742,0,0,0,48,0.27
APP-002743,0,0,0,18,0.92
APP-002744,0,0,0,60,0.11
APP-002745,0,0,0,24,0.74
APP-002746,0,0,0,60,0.29
APP-002747,1,1,120,0,0.565
APP-002748,1,4,120,3,0.18
APP-002749,0,0,0,36,0.47
APP-002750,1,2,60,1,0.75
APP-002751,1,3,60,2,0.92
APP-002752,0,0,0,36,0.41
APP-002753,1,6,120,5,0.448
APP-002754,1,8,60,7,0.76
APP-002755,0,0,0,12,0.644
APP-002756,0,0,0,36,0.31
APP-002757,0,0,15,18,0.3
APP-002758,0,0,0,24,0.18
APP-002759,1,7,60,6,0.92
APP-002760,1,2,90,1,0.68
APP-002761,0,0,15,36,0.46
APP-002762,1,4,90,3,0.541
APP-002763,0,0,0,48,0.06
APP-002764,1,3,90,2,0.728
APP-002765,1,1,120,0,0.56
APP-002766,1,12,60,11,0.34
APP-002767,0,0,0,36,0.11
APP-002768,0,0,5,60,0.26
APP-002769,1,4,90,3,0.845
APP-002770,0,0,0,48,0.3
APP-002771,0,0,0,24,0.18
APP-002772,0,0,0,24,0.291
APP-002773,0,0,0,24,0.26
APP-002774,1,3,60,2,0.92
APP-002775,0,0,0,36,0.31
APP-002776,1,5,90,4,0.371
APP-002777,0,0,0,48,0.35
APP-002778,0,0,0,24,0.47
APP-002779,1,2,30,1,0.4
APP-002780,0,0,0,36,0.64
APP-002781,1,5,90,4,0.92
APP-002782,0,0,0,24,0.28
APP-002783,1,7,60,6,0.8
APP-002784,1,1,90,0,0.92
APP-002785,1,5,90,4,0.33
APP-002786,0,0,0,36,0.14
APP-002787,1,9,180,8,0.92
APP-002788,0,0,0,48,0.11
APP-002789,0,0,5,48,0.06
APP-002790,1,10,120,9,0.63
APP-002791,1,3,120,2,0.53
APP-002792,0,0,0,60,0.11
APP-002793,1,2,90,1,0.168
APP-002794,1,3,180,2,0.46
APP-002795,1,7,180,6,0.76
APP-002796,0,0,0,12,0.26
APP-002797,0,0,1,24,0.248
APP-002798,0,0,0,36,0.168
APP-002799,0,0,0,18,0.64
APP-002800,0,0,1,60,0.245
APP-002801,0,0,0,48,0.06
APP-002802,0,0,1,48,0.19
APP-002803,1,7,60,6,0.54
APP-002804,1,4,60,3,0.92
APP-002805,0,0,0,48,0.19
APP-002806,0,0,1,48,0.19
APP-002807,0,0,0,24,0.491
APP-002808,1,8,120,7,0.42
APP-002809,0,0,0,18,0.14
APP-002810,1,2,120,1,0.76
APP-002811,0,0,5,36,0.291
APP-002812,0,0,0,48,0.14
APP-002813,0,0,0,24,0.291
APP-002814,1,8,120,7,0.3
APP-002815,1,4,90,3,0.911
APP-002816,0,0,15,24,0.42
APP-002817,1,9,90,8,0.92
APP-002818,0,0,15,60,0.22
APP-002819,1,8,90,7,0.27
APP-002820,1,4,60,3,0.92
APP-002821,1,7,30,6,0.92
APP-002822,1,3,30,2,0.54
APP-002823,0,0,15,18,0.06
APP-002824,0,0,0,18,0.23
APP-002825,1,6,90,5,0.92
APP-002826,1,6,90,5,0.92
APP-002827,0,0,0,60,0.11
APP-002828,1,5,90,4,0.49
APP-002829,0,0,0,36,0.25
APP-002830,0,0,0,36,0.11
APP-002831,0,0,0,48,0.471
APP-002832,0,0,1,60,0.11
APP-002833,0,0,5,60,0.641
APP-002834,1,8,120,7,0.421
APP-002835,0,0,0,24,0.11
APP-002836,0,0,0,36,0.61
APP-002837,1,5,30,4,0.88
APP-002838,0,0,0,24,0.19
APP-002839,0,0,0,36,0.34
APP-002840,1,4,60,3,0.72
APP-002841,0,0,0,48,0.48
APP-002842,1,6,120,5,0.63
APP-002843,0,0,0,36,0.42
APP-002844,0,0,0,36,0.34
APP-002845,1,5,90,4,0.8
APP-002846,0,0,0,24,0.11
APP-002847,1,4,90,3,0.59
APP-002848,1,7,180,6,0.91
APP-002849,0,0,15,60,0.14
APP-002850,1,5,180,4,0.63
APP-002851,1,3,180,2,0.92
APP-002852,1,3,90,2,0.28
APP-002853,1,5,180,4,0.88
APP-002854,0,0,1,36,0.19
APP-002855,0,0,0,60,0.06
APP-002856,1,11,30,10,0.591
APP-002857,1,8,30,7,0.48
APP-002858,0,0,1,36,0.36
APP-002859,0,0,0,24,0.18
APP-002860,0,0,0,36,0.21
APP-002861,1,2,30,1,0.92
APP-002862,0,0,0,48,0.19
APP-002863,0,0,0,36,0.758
APP-002864,0,0,1,36,0.14
APP-002865,1,1,60,0,0.748
APP-002866,0,0,0,36,0.83
APP-002867,1,6,180,5,0.698
APP-002868,1,5,60,4,0.421
APP-002869,0,0,0,36,0.421
APP-002870,1,4,90,3,0.26
APP-002871,0,0,0,36,0.17
APP-002872,0,0,5,36,0.18
APP-002873,0,0,1,36,0.341
APP-002874,1,9,90,8,0.165
APP-002875,0,0,0,18,0.24
APP-002876,1,4,180,3,0.644
APP-002877,1,1,90,0,0.6
APP-002878,0,0,0,48,0.14
APP-002879,1,6,90,5,0.741
APP-002880,0,0,0,24,0.245
APP-002881,1,6,60,5,0.85
APP-002882,1,2,60,1,0.871
APP-002883,1,6,90,5,0.46
APP-002884,0,0,0,36,0.461
APP-002885,1,4,30,3,0.611
APP-002886,1,1,90,0,0.62
APP-002887,1,1,30,0,0.92
APP-002888,1,2,120,1,0.92
APP-002889,1,3,30,2,0.8365
APP-002890,0,0,0,36,0.28
APP-002891,1,8,30,7,0.6
APP-002892,0,0,0,36,0.46
APP-002893,0,0,0,48,0.11
APP-002894,0,0,1,48,0.26
APP-002895,1,4,120,3,0.76
APP-002896,0,0,5,48,0.26
APP-002897,0,0,0,60,0.371
APP-002898,0,0,0,12,0.66
APP-002899,0,0,1,60,0.27
APP-002900,1,3,90,2,0.345
APP-002901,1,2,90,1,0.58
APP-002902,1,6,120,5,0.92
APP-002903,0,0,5,60,0.19
APP-002904,0,0,0,36,0.18
APP-002905,1,4,60,3,0.92
APP-002906,0,0,0,18,0.19
APP-002907,0,0,1,60,0.17
APP-002908,1,5,60,4,0.325
APP-002909,1,4,60,3,0.56
APP-002910,1,6,90,5,0.92
APP-002911,0,0,0,36,0.18
APP-002912,0,0,0,60,0.804
APP-002913,1,8,120,7,0.26
APP-002914,0,0,0,60,0.06
APP-002915,1,2,120,1,0.711
APP-002916,1,7,60,6,0.92
APP-002917,0,0,0,36,0.46
APP-002918,0,0,1,48,0.39
APP-002919,1,7,90,6,0.33
APP-002920,1,4,120,3,0.441
APP-002921,0,0,0,60,0.31
APP-002922,1,3,180,2,0.64
APP-002923,1,2,120,1,0.664
APP-002924,0,0,0,36,0.511
APP-002925,0,0,0,24,0.845
APP-002926,0,0,0,12,0.38
APP-002927,0,0,0,12,0.46
APP-002928,1,4,90,3,0.44
APP-002929,1,5,90,4,0.84
APP-002930,1,4,120,3,0.74
APP-002931,1,9,90,8,0.504
APP-002932,0,0,5,48,0.06
APP-002933,0,0,5,60,0.06
APP-002934,0,0,0,36,0.22
APP-002935,1,2,60,1,0.92
APP-002936,0,0,0,36,0.4365
APP-002937,1,7,30,6,0.92
APP-002938,1,7,90,6,0.92
APP-002939,0,0,15,18,0.64
APP-002940,0,0,0,36,0.51
APP-002941,1,4,180,3,0.78
APP-002942,0,0,0,36,0.54
APP-002943,1,6,30,5,0.75
APP-002944,1,6,30,5,0.32
APP-002945,0,0,1,36,0.724
APP-002946,0,0,0,18,0.92
APP-002947,0,0,1,60,0.31
APP-002948,0,0,0,12,0.76
APP-002949,0,0,15,36,0.14
APP-002950,1,9,90,8,0.64
APP-002951,0,0,0,36,0.26
APP-002952,0,0,0,36,0.11
APP-002953,1,6,30,5,0.691
APP-002954,0,0,1,12,0.341
APP-002955,0,0,0,48,0.14
APP-002956,1,8,90,7,0.48
APP-002957,0,0,5,36,0.33
APP-002958,1,9,90,8,0.51
APP-002959,0,0,0,36,0.7
APP-002960,0,0,0,60,0.28
APP-002961,0,0,0,36,0.26
APP-002962,0,0,15,12,0.06
APP-002963,0,0,0,36,0.18
APP-002964,0,0,15,36,0.18
APP-002965,0,0,0,48,0.26
APP-002966,1,7,120,6,0.11
APP-002967,0,0,1,48,0.16
APP-002968,0,0,0,36,0.24
APP-002969,0,0,0,24,0.64
APP-002970,1,5,120,4,0.641
APP-002971,0,0,0,24,0.14
APP-002972,0,0,1,24,0.32
APP-002973,0,0,0,18,0.33
APP-002974,0,0,0,36,0.63
APP-002975,0,0,0,12,0.11
APP-002976,1,9,90,8,0.56
APP-002977,1,10,120,9,0.92
APP-002978,1,3,90,2,0.92
APP-002979,0,0,0,36,0.19
APP-002980,0,0,5,36,0.36
APP-002981,0,0,0,48,0.64
APP-002982,0,0,0,48,0.245
APP-002983,0,0,0,60,0.46
APP-002984,0,0,0,18,0.48
APP-002985,1,2,120,1,0.88
APP-002986,0,0,0,36,0.16
APP-002987,0,0,0,36,0.06
APP-002988,0,0,0,24,0.41
APP-002989,0,0,0,36,0.38
APP-002990,0,0,5,18,0.58
APP-002991,1,1,90,0,0.39
APP-002992,0,0,0,36,0.56
APP-002993,1,2,90,1,0.92
APP-002994,0,0,0,24,0.465
APP-002995,1,6,60,5,0.56
APP-002996,1,6,90,5,0.491
APP-002997,1,4,90,3,0.31
APP-002998,0,0,0,36,0.14
APP-002999,0,0,0,24,0.165
APP-003000,0,0,0,36,0.06
APP-003001,0,0,1,36,0.14
APP-003002,0,0,0,60,0.39
APP-003003,0,0,1,48,0.18
APP-003004,0,0,0,36,0.14
APP-003005,1,2,60,1,0.92
APP-003006,1,5,90,4,0.48
APP-003007,1,3,30,2,0.92
APP-003008,1,4,90,3,0.61
APP-003009,1,8,90,7,0.651
APP-003010,1,8,90,7,0.18
APP-003011,0,0,0,24,0.27
APP-003012,1,2,120,1,0.44
APP-003013,1,4,90,3,0.791
APP-003014,1,10,90,9,0.86
APP-003015,1,8,90,7,0.388
APP-003016,1,9,180,8,0.871
APP-003017,1,9,60,8,0.81
APP-003018,1,8,30,7,0.868
APP-003019,0,0,5,60,0.421
APP-003020,0,0,0,36,0.421
APP-003021,1,3,90,2,0.704
APP-003022,0,0,0,18,0.421
APP-003023,0,0,0,48,0.26
APP-003024,1,4,120,3,0.8865
APP-003025,1,6,60,5,0.36
APP-003026,1,10,90,9,0.62
APP-003027,1,7,90,6,0.92
APP-003028,1,3,30,2,0.73
APP-003029,0,0,0,36,0.23
APP-003030,0,0,15,36,0.14
APP-003031,1,6,90,5,0.4
APP-003032,0,0,1,36,0.06
APP-003033,1,9,90,8,0.46
APP-003034,1,6,60,5,0.68
APP-003035,1,7,60,6,0.48
APP-003036,0,0,0,48,0.17
APP-003037,1,8,60,7,0.14
APP-003038,1,4,90,3,0.83
APP-003039,1,5,30,4,0.59
APP-003040,0,0,5,36,0.34
APP-003041,0,0,5,24,0.11
APP-003042,0,0,0,48,0.11
APP-003043,0,0,0,48,0.63
APP-003044,0,0,0,36,0.54
APP-003045,0,0,0,24,0.53
APP-003046,0,0,1,36,0.3
APP-003047,1,5,30,4,0.491
APP-003048,0,0,0,24,0.18
APP-003049,1,9,180,8,0.64
APP-003050,1,8,60,7,0.92
APP-003051,0,0,0,48,0.11
APP-003052,0,0,0,36,0.06
APP-003053,0,0,0,36,0.451
APP-003054,0,0,0,18,0.461
APP-003055,1,5,90,4,0.92
APP-003056,0,0,0,48,0.21
APP-003057,1,10,120,9,0.8865
APP-003058,1,2,180,1,0.71
APP-003059,0,0,1,48,0.18
APP-003060,0,0,1,48,0.64
APP-003061,1,3,60,2,0.35
APP-003062,1,6,90,5,0.16
APP-003063,1,2,30,1,0.33
APP-003064,1,6,90,5,0.41
APP-003065,0,0,1,36,0.06
APP-003066,0,0,1,36,0.63
APP-003067,0,0,0,36,0.56
APP-003068,0,0,15,24,0.23
APP-003069,0,0,0,36,0.34
APP-003070,1,10,90,9,0.56
APP-003071,1,5,60,4,0.864
APP-003072,0,0,0,48,0.511
APP-003073,1,5,90,4,0.92
APP-003074,0,0,15,24,0.06
APP-003075,0,0,1,48,0.06
APP-003076,1,4,90,3,0.92
APP-003077,0,0,0,36,0.6
APP-003078,0,0,0,36,0.34
APP-003079,0,0,0,18,0.66
APP-003080,1,8,90,7,0.871
APP-003081,0,0,0,36,0.26
APP-003082,0,0,5,36,0.26
APP-003083,0,0,0,18,0.465
APP-003084,0,0,0,18,0.28
APP-003085,1,8,60,7,0.41
APP-003086,1,7,120,6,0.46
APP-003087,0,0,1,36,0.18
APP-003088,1,1,90,0,0.66
APP-003089,1,8,90,7,0.19
APP-003090,0,0,1,36,0.18
APP-003091,0,0,0,60,0.14
APP-003092,0,0,5,48,0.291
APP-003093,1,3,120,2,0.92
APP-003094,0,0,0,36,0.38
APP-003095,1,1,90,0,0.81
APP-003096,1,1,30,0,0.81
APP-003097,0,0,0,24,0.46
APP-003098,0,0,0,36,0.06
APP-003099,0,0,15,36,0.491
APP-003100,0,0,0,24,0.168
APP-003101,1,8,120,7,0.92
APP-003102,1,2,60,1,0.91
APP-003103,0,0,0,60,0.14
APP-003104,1,3,90,2,0.32
APP-003105,0,0,0,60,0.165
APP-003106,1,8,30,7,0.691
APP-003107,0,0,0,60,0.35
APP-003108,1,7,30,6,0.54
APP-003109,1,4,30,3,0.19
APP-003110,0,0,0,36,0.71
APP-003111,0,0,0,36,0.36
APP-003112,1,6,60,5,0.56
APP-003113,1,3,30,2,0.16
APP-003114,0,0,0,36,0.26
APP-003115,0,0,5,48,0.26
APP-003116,1,4,180,3,0.608
APP-003117,0,0,0,36,0.14
APP-003118,0,0,0,24,0.06
APP-003119,0,0,5,36,0.31
APP-003120,1,5,30,4,0.341
APP-003121,0,0,0,36,0.22
APP-003122,0,0,0,24,0.26
APP-003123,0,0,5,48,0.31
APP-003124,1,3,90,2,0.92
APP-003125,0,0,0,36,0.06
APP-003126,1,7,60,6,0.68
APP-003127,1,10,60,9,0.92
APP-003128,0,0,0,60,0.11
APP-003129,0,0,0,18,0.528
APP-003130,1,2,60,1,0.531
APP-003131,1,10,60,9,0.468
APP-003132,0,0,0,36,0.11
APP-003133,0,0,0,48,0.32
APP-003134,0,0,0,24,0.46
APP-003135,0,0,0,48,0.308
APP-003136,1,4,90,3,0.771
APP-003137,0,0,15,24,0.14
APP-003138,0,0,0,18,0.26
APP-003139,1,8,120,7,0.76
APP-003140,0,0,0,48,0.64
APP-003141,0,0,0,24,0.62
APP-003142,1,3,90,2,0.19
APP-003143,0,0,0,60,0.34
APP-003144,1,6,90,5,0.461
APP-003145,1,2,30,1,0.64
APP-003146,0,0,0,48,0.06
APP-003147,1,4,120,3,0.421
APP-003148,1,2,90,1,0.73
APP-003149,0,0,0,24,0.245
APP-003150,0,0,0,48,0.17
APP-003151,1,5,30,4,0.19
APP-003152,0,0,0,36,0.308
APP-003153,0,0,0,24,0.32
APP-003154,0,0,0,24,0.06
APP-003155,1,5,120,4,0.411
APP-003156,0,0,0,36,0.32
APP-003157,0,0,0,48,0.27
APP-003158,1,2,90,1,0.92
APP-003159,1,6,120,5,0.92
APP-003160,0,0,0,36,0.25
APP-003161,1,6,30,5,0.92
APP-003162,1,4,60,3,0.46
APP-003163,0,0,0,36,0.56
APP-003164,0,0,1,36,0.27
APP-003165,0,0,0,36,0.741
APP-003166,0,0,0,36,0.33
APP-003167,1,9,180,8,0.71
APP-003168,0,0,0,48,0.58
APP-003169,1,7,60,6,0.92
APP-003170,0,0,0,24,0.491
APP-003171,1,2,30,1,0.5115
APP-003172,0,0,0,36,0.91
APP-003173,1,5,60,4,0.92
APP-003174,1,5,30,4,0.11
APP-003175,1,2,120,1,0.611
APP-003176,0,0,0,36,0.46
APP-003177,1,3,30,2,0.168
APP-003178,0,0,15,24,0.61
APP-003179,0,0,0,48,0.611
APP-003180,0,0,1,18,0.09
APP-003181,1,7,30,6,0.691
APP-003182,1,4,90,3,0.92
APP-003183,0,0,0,48,0.26
APP-003184,0,0,0,12,0.45
APP-003185,0,0,5,36,0.26
APP-003186,1,5,30,4,0.54
APP-003187,0,0,15,24,0.59
APP-003188,1,7,120,6,0.88
APP-003189,0,0,0,36,0.11
APP-003190,0,0,0,60,0.14
APP-003191,1,4,90,3,0.45
APP-003192,1,6,60,5,0.67
APP-003193,0,0,0,60,0.62
APP-003194,0,0,0,18,0.3
APP-003195,0,0,0,24,0.245
APP-003196,0,0,5,36,0.06
APP-003197,0,0,0,36,0.18
APP-003198,0,0,0,60,0.18
APP-003199,1,7,90,6,0.691
APP-003200,0,0,0,24,0.56
APP-003201,0,0,15,60,0.06
APP-003202,1,6,120,5,0.46
APP-003203,1,9,30,8,0.35
APP-003204,1,2,90,1,0.92
APP-003205,1,2,90,1,0.58
APP-003206,0,0,0,48,0.341
APP-003207,0,0,1,60,0.14
APP-003208,0,0,0,24,0.06
APP-003209,0,0,0,36,0.23
APP-003210,0,0,1,48,0.528
APP-003211,1,4,90,3,0.11
APP-003212,0,0,0,18,0.11
APP-003213,1,7,120,6,0.56
APP-003214,1,2,120,1,0.85
APP-003215,1,4,120,3,0.815
APP-003216,0,0,0,36,0.17
APP-003217,1,1,120,0,0.82
APP-003218,1,4,90,3,0.11
APP-003219,1,2,30,1,0.67
APP-003220,1,5,120,4,0.84
APP-003221,0,0,0,60,0.34
APP-003222,0,0,15,36,0.19
APP-003223,0,0,0,36,0.451
APP-003224,1,5,90,4,0.571
APP-003225,0,0,0,60,0.27
APP-003226,0,0,0,48,0.26
APP-003227,0,0,0,24,0.06
APP-003228,1,7,60,6,0.62
APP-003229,0,0,15,60,0.89
APP-003230,0,0,5,36,0.26
APP-003231,0,0,0,36,0.62
APP-003232,0,0,5,36,0.14
APP-003233,1,1,120,0,0.43
APP-003234,1,3,120,2,0.31
APP-003235,0,0,0,12,0.31
APP-003236,1,4,60,3,0.64
APP-003237,1,9,90,8,0.92
APP-003238,0,0,0,36,0.22
APP-003239,0,0,0,36,0.19
APP-003240,0,0,0,36,0.608
APP-003241,0,0,0,48,0.06
APP-003242,1,5,90,4,0.46
APP-003243,0,0,0,36,0.501
APP-003244,1,6,60,5,0.83
APP-003245,0,0,0,48,0.44
APP-003246,1,1,90,0,0.5115
APP-003247,1,4,90,3,0.64
APP-003248,0,0,0,48,0.56
APP-003249,1,7,90,6,0.371
APP-003250,0,0,0,36,0.24
APP-003251,0,0,0,24,0.11
APP-003252,1,3,90,2,0.24
APP-003253,1,6,120,5,0.53
APP-003254,1,7,30,6,0.84
APP-003255,0,0,0,36,0.69
APP-003256,0,0,1,48,0.63
APP-003257,0,0,0,36,0.14
APP-003258,1,4,120,3,0.68
APP-003259,0,0,0,18,0.804
APP-003260,0,0,0,60,0.448
APP-003261,1,4,30,3,0.63
APP-003262,0,0,0,36,0.41
APP-003263,0,0,0,36,0.591
APP-003264,1,10,60,9,0.72
APP-003265,0,0,0,60,0.421
APP-003266,0,0,0,24,0.31
APP-003267,1,3,60,2,0.14
APP-003268,0,0,15,48,0.23
APP-003269,1,4,90,3,0.56
APP-003270,1,7,120,6,0.881
APP-003271,1,2,120,1,0.62
APP-003272,0,0,0,36,0.421
APP-003273,0,0,0,24,0.458
APP-003274,0,0,0,36,0.58
APP-003275,1,6,90,5,0.561
APP-003276,1,8,90,7,0.33
APP-003277,1,6,60,5,0.92
APP-003278,1,9,30,8,0.71
APP-003279,1,11,90,10,0.46
APP-003280,0,0,0,24,0.11
APP-003281,0,0,0,36,0.11
APP-003282,1,6,30,5,0.78
APP-003283,0,0,1,24,0.23
APP-003284,0,0,0,24,0.168
APP-003285,1,6,180,5,0.52
APP-003286,0,0,0,24,0.38
APP-003287,0,0,0,48,0.34
APP-003288,0,0,15,36,0.45
APP-003289,0,0,0,12,0.3
APP-003290,1,1,90,0,0.308
APP-003291,0,0,15,48,0.27
APP-003292,1,2,60,1,0.46
APP-003293,0,0,0,24,0.61
APP-003294,1,6,30,5,0.33
APP-003295,0,0,15,48,0.48
APP-003296,0,0,0,24,0.35
APP-003297,0,0,0,48,0.14
APP-003298,0,0,0,24,0.52
APP-003299,1,9,180,8,0.64
APP-003300,0,0,5,18,0.22
APP-003301,1,4,60,3,0.56
APP-003302,0,0,1,36,0.51
APP-003303,1,3,90,2,0.724
APP-003304,1,2,90,1,0.92
APP-003305,0,0,15,24,0.38
APP-003306,1,7,90,6,0.791
APP-003307,0,0,1,36,0.06
APP-003308,0,0,0,36,0.39
APP-003309,1,1,90,0,0.76
APP-003310,1,5,90,4,0.82
APP-003311,1,7,120,6,0.45
APP-003312,0,0,0,36,0.6
APP-003313,0,0,0,36,0.421
APP-003314,1,4,90,3,0.721
APP-003315,0,0,0,36,0.06
APP-003316,0,0,1,36,0.19
APP-003317,0,0,0,60,0.17
APP-003318,0,0,0,36,0.09
APP-003319,1,5,30,4,0.42
APP-003320,1,6,60,5,0.615
APP-003321,0,0,1,36,0.27
APP-003322,1,7,120,6,0.3
APP-003323,0,0,1,36,0.11
APP-003324,1,4,90,3,0.49
APP-003325,1,7,120,6,0.871
APP-003326,0,0,0,48,0.14
APP-003327,0,0,15,18,0.52
APP-003328,0,0,0,36,0.46
APP-003329,0,0,0,24,0.11
APP-003330,1,3,180,2,0.541
APP-003331,0,0,0,36,0.26
APP-003332,1,8,30,7,0.56
APP-003333,0,0,0,24,0.66
APP-003334,1,3,120,2,0.371
APP-003335,0,0,5,36,0.31
APP-003336,1,2,120,1,0.4
APP-003337,0,0,0,48,0.341
APP-003338,1,5,90,4,0.76
APP-003339,1,1,120,0,0.19
APP-003340,0,0,1,36,0.33
APP-003341,0,0,0,36,0.11
APP-003342,1,4,120,3,0.92
APP-003343,1,10,180,9,0.51
APP-003344,0,0,0,24,0.22
APP-003345,1,11,120,10,0.92
APP-003346,0,0,0,36,0.27
APP-003347,0,0,0,48,0.46
APP-003348,1,3,120,2,0.48
APP-003349,1,4,180,3,0.511
APP-003350,1,9,90,8,0.26
APP-003351,0,0,0,36,0.76
APP-003352,0,0,0,36,0.4
APP-003353,0,0,0,36,0.685
APP-003354,0,0,0,36,0.18
APP-003355,1,8,120,7,0.665
APP-003356,1,5,90,4,0.6915
